# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	34733	18267
1	34739	18292
1	34743	6714
1	34747	34743
1	34751	34747
1	34813	32701
1	34992	30946
1	34996	21457
1	35001	34996
1	35006	25408
1	35014	4268
1	35049	2675
1	35160	21127
1	35167	21139
1	35174	21158
1	35178	2750
1	35194	18593
1	35285	25736
1	35480	8248
1	35494	4649
1	35502	18354
1	35563	20922
1	35568	35563
1	35573	32603
1	35578	20911
1	35683	21734
1	35687	21763
1	35691	35687
1	35695	21740
1	35700	35683
1	35704	35695
1	35708	35704
1	35712	35700
1	35720	35704
1	35724	35704
1	35728	35720
1	35732	18401
1	35738	21466
1	35761	14224
1	35786	10929
1	35807	19814
1	35968	30383
1	35974	35968
1	35978	35974
1	36258	8461
1	36294	24670
1	36299	20848
1	36305	36299
1	36313	36305
1	36322	36305
1	36328	36305
1	36332	36322
1	36336	36305
1	36340	30844
1	36393	35563
1	36398	31471
1	36405	36398
1	36427	14566
1	36525	14537
1	36532	36525
1	36536	11832
1	36540	36525
1	36685	8988
1	36705	10373
1	36766	34216
1	36775	12971
1	36781	36775
1	36938	13190
1	37005	34216
1	37009	3145
1	37014	12931
1	37018	37014
1	37022	37014
1	37030	25862
1	37053	21087
1	37059	11506
1	37064	11541
1	37069	14800
1	37075	8982
1	37082	22811
1	37089	37075
1	37096	37082
1	37281	14218
1	37357	27901
1	37360	20544
1	37364	32533
1	37368	37360
1	37503	30210
1	37509	19858
1	37519	17417
1	37522	10997
1	37526	14363
1	37531	25403
1	37535	37531
1	37584	21087
1	37713	30210
1	37717	37713
1	37722	9822
1	37727	21149
1	37731	33551
1	37897	36938
1	37907	31362
1	37948	37069
1	37952	23240
1	37957	30225
1	38169	14070
1	38173	5657
1	38318	34591
1	38324	34591
1	38330	34591
1	38397	11145
1	38407	4408
1	38412	18895
1	38431	13551
1	38437	23000
1	38454	22680
1	38460	38454
1	38466	36328
1	38470	38466
1	38474	21122
1	38479	38466
1	38485	22680
1	38490	38460
1	38494	38460
1	38498	30844
1	38503	38479
1	38508	38466
1	38513	38470
1	38517	38485
1	38522	38474
1	38527	38460
1	38531	38466
1	38536	38508
1	38750	25403
1	38756	2686
1	38788	33783
1	38791	21457
1	38795	22903
1	38814	37535
1	38845	9829
1	38893	36427
1	38925	23245
1	38934	20515
1	38938	20515
1	38942	38938
1	38950	38938
1	38954	38938
1	38957	38934
1	38968	19377
1	38979	14234
1	39150	25408
1	39172	4878
1	39177	4890
1	39185	39172
1	39212	14311
1	39217	36536
1	39239	14218
1	39361	17715
1	39369	23394
1	39375	39361
1	39456	37281
1	39461	12637
1	39553	12824
1	39556	34047
1	39559	3151
1	39562	35006
1	39566	39556
1	39650	24502
1	39669	14611
1	39775	24416
1	39783	3259
1	39865	4649
1	39870	39865
1	39875	39865
1	39892	4649
1	39899	39892
1	39904	28981
1	39915	29707
1	39921	29719
1	39924	29710
1	39927	39921
1	39930	29713
1	39937	39921
1	39977	29710
1	39981	39930
1	39989	39930
1	40341	30210
1	49530	6697
1	49538	27773
1	49544	49538
1	49548	49544
1	49551	49544
1	49555	49548
1	49559	49551
1	49567	49544
1	49572	49555
1	49577	49544
1	49581	49559
1	49668	14331
1	49678	25289
1	49683	24709
1	49689	17310
1	49695	23245
1	49720	9693
1	49726	12538
1	49774	13523
1	49780	3659
1	50003	23690
1	50007	24130
1	50373	18593
1	50409	11796
1	50413	21466
1	50418	50413
1	50421	12833
1	50423	11802
1	50427	50409
1	50432	5653
1	50435	11799
1	50546	29834
1	50554	29834
1	50560	11223
1	50566	5110
1	50575	37360
1	50583	10739
1	50657	17757
1	50739	28305
1	50745	50739
1	50751	50745
1	50756	50745
1	50762	50745
1	50769	50745
1	50773	50751
1	50784	50751
1	50789	50745
1	50855	17463
1	50858	17463
1	50986	22352
1	50989	25333
1	51056	16912
1	51060	19095
1	51110	23240
1	51338	4268
1	51363	31693
1	51370	27904
1	51403	2926
1	51407	2948
1	51412	2926
1	51416	51412
1	51420	2944
1	51424	51416
1	51432	51424
1	51436	51416
1	51561	8967
1	51566	18887
1	51569	51566
1	51573	18887
1	51700	29004
1	51709	18197
1	51714	10384
1	51718	16912
1	51746	31998
1	51756	8141
1	51929	3659
1	52026	8317
1	52036	8382
1	52039	52036
1	52045	51060
1	52048	52036
1	52051	52048
1	52056	52036
1	52060	52051
1	52063	8685
1	52070	52036
1	52074	52070
